MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,TotSF,TotBth,TotPorchSF,PoolNA,2ndFlrNA,SalePrice
20,RL,73.0,11241,NA,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,426.0,1004.0,GasA,Ex,Y,SBrkr,1004,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2.0,480.0,TA,TA,Y,NA,Shed,3,2010,WD,Normal,1004,2.0,0,0,0,149000
90,RL,72.0,10791,NA,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,NA,NA,NA,NA,NA,0.0,0.0,GasA,TA,Y,SBrkr,1296,TA,6,Typ,0,NA,CarPort,1967.0,Unf,2.0,516.0,TA,TA,Y,NA,Shed,10,2006,WD,Normal,1296,2.0,0,0,0,90000
20,RL,66.0,13695,NA,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,Unf,468.0,1114.0,GasA,Ex,Y,SBrkr,1114,Gd,6,Typ,0,NA,Detchd,2004.0,Unf,2.0,576.0,TA,TA,Y,NA,NA,6,2008,WD,Normal,1114,2.5,102,0,0,159000
20,RL,70.0,7560,NA,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,525.0,1029.0,GasA,TA,Y,SBrkr,1339,TA,6,Min1,0,NA,Attchd,1958.0,Unf,1.0,294.0,TA,TA,Y,MnPrv,NA,5,2009,COD,Abnorml,1339,1.0,0,0,0,139000
60,RL,101.0,14215,NA,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1158.0,1158.0,GasA,Ex,Y,SBrkr,2376,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3.0,853.0,TA,TA,Y,NA,NA,11,2006,New,Partial,2376,3.5,394,0,1,325300
45,RM,57.0,7449,Grvl,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,637.0,637.0,GasA,Ex,Y,FuseF,1108,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,1.0,280.0,TA,TA,N,GdPrv,NA,6,2007,WD,Normal,1108,1.0,205,0,0,139400
20,RL,75.0,9742,NA,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1777.0,1777.0,GasA,Ex,Y,SBrkr,1795,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,2.0,534.0,TA,TA,Y,NA,NA,9,2008,WD,Normal,1795,2.0,330,0,0,230000
120,RM,44.0,4224,NA,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,200.0,1040.0,GasA,TA,Y,SBrkr,1060,TA,6,Typ,1,TA,Attchd,1976.0,Unf,2.0,572.0,TA,TA,Y,NA,NA,6,2007,WD,Normal,1060,2.0,210,0,0,129900
20,RL,72.0,8246,NA,IR1,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,204.0,1060.0,GasA,Ex,Y,SBrkr,1060,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,1.0,270.0,TA,TA,Y,MnPrv,NA,5,2010,WD,Normal,1060,2.0,496,0,0,154000
20,RL,110.0,14230,NA,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1566.0,1566.0,GasA,Ex,Y,SBrkr,1600,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3.0,890.0,TA,TA,Y,NA,NA,7,2009,WD,Normal,1600,2.0,56,0,0,256300
20,RL,60.0,7200,NA,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,180.0,900.0,GasA,TA,Y,SBrkr,900,Gd,5,Typ,0,NA,Detchd,2005.0,Unf,2.0,576.0,TA,TA,Y,NA,NA,5,2010,WD,Normal,900,1.5,254,0,0,134800
20,RL,98.0,11478,NA,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,486.0,1704.0,GasA,Ex,Y,SBrkr,1704,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3.0,772.0,TA,TA,Y,NA,NA,5,2010,WD,Normal,1704,3.0,50,0,0,306000
20,RL,47.0,16321,NA,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,Unf,207.0,1484.0,GasA,TA,Y,SBrkr,1600,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,1.0,319.0,TA,TA,Y,NA,NA,12,2006,WD,Normal,1600,2.0,546,0,0,207500
30,RM,60.0,6324,NA,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,520.0,520.0,GasA,Fa,N,SBrkr,520,Fa,4,Typ,0,NA,Detchd,1920.0,Unf,1.0,240.0,Fa,TA,Y,NA,NA,5,2008,WD,Normal,520,1.0,136,0,0,68500
70,C (all),50.0,8500,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,649.0,649.0,GasA,TA,N,SBrkr,1317,TA,6,Typ,0,NA,Detchd,1920.0,Unf,1.0,250.0,TA,Fa,N,MnPrv,NA,7,2008,WD,Normal,1317,1.0,226,0,1,40000
20,RL,72.0,8544,NA,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,1228.0,1228.0,GasA,Gd,Y,SBrkr,1228,Gd,6,Typ,0,NA,Attchd,1966.0,Unf,1.0,271.0,TA,TA,Y,MnPrv,NA,6,2008,WD,Normal,1228,1.5,65,0,0,149350
20,RL,85.0,11049,NA,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1234.0,1234.0,GasA,Ex,Y,SBrkr,1234,Gd,7,Typ,0,NA,Attchd,2007.0,RFn,2.0,484.0,TA,TA,Y,NA,NA,1,2008,WD,Normal,1234,2.0,30,0,0,179900
20,RL,70.0,10552,NA,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,380.0,1398.0,GasA,Gd,Y,SBrkr,1700,Gd,6,Typ,1,Gd,Attchd,1959.0,RFn,2.0,447.0,TA,TA,Y,NA,NA,4,2010,WD,Normal,1700,2.0,38,0,0,165500
120,RL,60.0,7313,NA,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,408.0,1561.0,GasA,Ex,Y,SBrkr,1561,Ex,6,Typ,1,Gd,Attchd,2005.0,Fin,2.0,556.0,TA,TA,Y,NA,NA,8,2007,WD,Normal,1561,3.0,250,0,0,277500
60,RL,108.0,13418,NA,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1117.0,1117.0,GasA,Ex,Y,SBrkr,2452,Gd,9,Typ,1,Gd,BuiltIn,2004.0,Fin,3.0,691.0,TA,TA,Y,NA,NA,9,2006,WD,Normal,2452,3.5,145,0,1,309000
20,RL,112.0,10859,NA,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,1097.0,1097.0,GasA,Ex,Y,SBrkr,1097,TA,6,Typ,0,NA,Attchd,1995.0,Unf,2.0,672.0,TA,TA,Y,NA,NA,6,2009,WD,Normal,1097,1.5,456,0,0,145000
20,RL,74.0,8532,NA,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,84.0,1297.0,GasA,Gd,Y,SBrkr,1297,TA,5,Typ,1,TA,Attchd,1954.0,Fin,2.0,498.0,TA,TA,Y,NA,NA,10,2009,WD,Normal,1297,1.5,0,0,0,153000
20,RL,68.0,7922,NA,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,326.0,1057.0,GasA,TA,Y,SBrkr,1057,Gd,5,Typ,0,NA,Detchd,1953.0,Unf,1.0,246.0,TA,TA,Y,NA,NA,1,2010,WD,Abnorml,1057,2.0,52,0,0,109000
90,RL,65.0,6040,NA,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,TA,TA,PConc,NA,NA,NA,NA,NA,0.0,0.0,GasA,TA,N,FuseP,1152,Fa,6,Typ,0,NA,NA,0.0,NA,0.0,0.0,NA,NA,N,NA,NA,6,2008,WD,AdjLand,1152,2.0,0,0,0,82000
20,RL,84.0,8658,NA,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,445.0,1088.0,GasA,Ex,Y,SBrkr,1324,TA,6,Typ,1,TA,Attchd,1965.0,RFn,2.0,440.0,TA,TA,Y,GdWo,NA,12,2006,WD,Abnorml,1324,2.0,138,0,0,160000
20,RL,115.0,16905,NA,Reg,Lvl,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,383.0,1350.0,GasA,Gd,Y,SBrkr,1328,TA,5,Typ,2,Gd,Attchd,1959.0,RFn,1.0,308.0,TA,TA,P,NA,NA,7,2007,WD,Normal,1328,2.0,104,0,0,170000
85,RL,67.0,9180,NA,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,0.0,840.0,GasA,Gd,Y,SBrkr,884,Gd,5,Typ,0,NA,Attchd,1983.0,RFn,2.0,504.0,TA,Gd,Y,MnPrv,NA,12,2007,WD,Normal,884,2.0,240,0,0,144000
20,RL,70.0,9200,NA,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,BLQ,167.0,938.0,GasA,TA,Y,SBrkr,938,TA,5,Typ,0,NA,Detchd,1977.0,Unf,1.0,308.0,TA,TA,Y,MnPrv,NA,7,2008,WD,Normal,938,2.0,145,0,0,130250
20,RL,70.0,7945,NA,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,465.0,1150.0,GasA,Ex,Y,FuseA,1150,TA,6,Typ,0,NA,Attchd,1959.0,RFn,1.0,300.0,TA,TA,Y,NA,NA,5,2006,WD,Normal,1150,2.0,0,0,0,141000
120,RL,61.0,7658,NA,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1296.0,1752.0,GasA,Ex,Y,SBrkr,1752,Ex,6,Typ,1,Gd,Attchd,2005.0,RFn,2.0,576.0,TA,TA,Y,NA,NA,2,2010,WD,Normal,1752,3.0,278,0,0,319900
50,RL,48.0,12822,NA,IR1,Lvl,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,83.0,1434.0,GasA,Ex,Y,SBrkr,2149,Gd,6,Typ,1,Ex,Attchd,2003.0,RFn,2.0,670.0,TA,TA,Y,NA,NA,8,2009,WD,Abnorml,2149,2.5,409,0,1,239686
20,FV,84.0,11096,NA,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1632.0,1656.0,GasA,Ex,Y,SBrkr,1656,Gd,7,Typ,0,NA,Attchd,2006.0,RFn,3.0,826.0,TA,TA,Y,NA,NA,7,2007,WD,Normal,1656,2.0,146,0,0,249700
190,RM,33.0,4456,NA,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,736.0,736.0,GasA,Gd,Y,SBrkr,1452,TA,8,Typ,0,NA,NA,0.0,NA,0.0,0.0,NA,NA,N,NA,NA,6,2009,New,Partial,1452,2.0,102,0,1,113000
20,RL,66.0,7742,NA,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,192.0,955.0,GasA,Ex,Y,SBrkr,955,TA,6,Typ,0,NA,Attchd,1966.0,Unf,1.0,386.0,TA,TA,Y,MnPrv,NA,1,2007,WD,Normal,955,2.0,0,0,0,127000
60,RL,64.0,13869,NA,IR2,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,Unf,612.0,794.0,GasA,Gd,Y,SBrkr,1470,TA,6,Typ,0,NA,Attchd,1997.0,Fin,2.0,388.0,TA,TA,Y,NA,NA,7,2007,WD,Normal,1470,2.5,75,0,1,177000
50,RM,52.0,6240,NA,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,816.0,816.0,GasA,TA,Y,SBrkr,1176,TA,6,Typ,1,Gd,Detchd,1985.0,Unf,2.0,528.0,TA,TA,Y,MnPrv,Shed,9,2006,WD,Normal,816,1.0,112,0,0,114500
90,RM,110.0,8472,NA,IR2,Bnk,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,GLQ,0.0,816.0,GasA,TA,N,SBrkr,816,TA,5,Typ,0,NA,CarPort,1963.0,Unf,2.0,516.0,TA,TA,Y,NA,NA,5,2010,WD,Normal,816,2.0,106,0,0,110000
20,RL,68.0,50271,NA,IR1,Low,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,1981,1987,Gable,WdShngl,WdShing,Wd Shng,None,0.0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,Unf,32.0,1842.0,GasA,Gd,Y,SBrkr,1842,Gd,5,Typ,1,Gd,Attchd,1981.0,Fin,3.0,894.0,TA,TA,Y,NA,NA,11,2006,WD,Normal,1842,2.5,929,0,0,385000
80,RL,60.0,7134,NA,Reg,Bnk,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,0.0,384.0,GasA,TA,Y,SBrkr,1360,TA,6,Min1,1,TA,Detchd,1962.0,Unf,2.0,572.0,TA,TA,Y,MnPrv,NA,2,2007,WD,Normal,1360,1.0,50,0,0,130000
20,RL,100.0,10175,NA,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1964,1964,Gable,CompShg,HdBoard,Plywood,BrkFace,272.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,935.0,1425.0,GasA,Gd,Y,SBrkr,1425,TA,7,Typ,1,Gd,Attchd,1964.0,RFn,2.0,576.0,TA,TA,Y,NA,NA,7,2008,WD,Normal,1425,2.0,407,0,0,180500
160,FV,24.0,2645,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,321.0,970.0,GasA,Ex,Y,SBrkr,1739,Gd,7,Typ,0,NA,Attchd,1999.0,Fin,2.0,480.0,TA,TA,Y,NA,NA,8,2009,WD,Abnorml,1739,3.5,115,0,1,172500
